Rainfall_mm,RiverLevel_m,SoilMoisture_pct,Flood
15,2.1,30,0
20,2.3,35,0
45,2.8,40,0
60,3.1,45,0
80,3.4,50,1
25,2.2,32,0
90,3.8,55,1
110,4.2,60,1
35,2.6,38,0
70,3.3,48,1
18,2.0,28,0
130,4.6,65,1
55,2.9,42,0
95,3.9,58,1
40,2.5,36,0
150,5.0,70,1
22,2.1,31,0
75,3.5,50,1
28,2.4,33,0
120,4.4,62,1
10,1.9,25,0
85,3.7,53,1
50,2.8,41,0
140,4.8,68,1
33,2.5,35,0
100,4.0,59,1
19,2.1,29,0
65,3.2,46,0
105,4.1,60,1
38,2.6,37,0
115,4.3,61,1
27,2.3,33,0
92,3.8,56,1
44,2.7,40,0
125,4.5,63,1
16,2.0,27,0
78,3.5,51,1
30,2.4,34,0
135,4.7,66,1
52,2.9,43,0
88,3.6,52,0
62,3.0,44,1
98,3.9,57,0
47,2.7,39,1
72,3.4,49,0
30,2.3,33,1

